[2026-09-02 16:38:10.572] [info]  [manual] event=order.received status=success source=manual virtual=off mode=test orderId=INSTANT-1788334690245 bill=0000 menuCount=1 mappings=[{"baseCode":"GTI5001","recipeCode":"GTI5001","matchedMenuName":"ICED_오미자차","stepsSummary":"CUP:ICE,_ICE:5000,_COLD:90,_오미자:60,_NONE:NONE,_NONE:NONE,_NONE:NONE,_NONE:NONE,_NONE:NONE,_NONE:NONE"}] isTestBrew=true
[2026-09-02 16:40:58.050] [error] [manual] event=order.failed status=failed stage=HARDWARE source=manual virtual=off mode=test orderId=INSTANT-1788334690245 bill=0000 menuCount=1 error=HW물리검증_실패:_[INSTANT-1788334690245]_[ICED_오미자차]_주문스텝3_실패
[2026-09-02 16:42:28.407] [info]  [manual] event=order.received status=success source=manual virtual=off mode=test orderId=INSTANT-1788334948074 bill=0000 menuCount=1 mappings=[{"baseCode":"GTI5002","recipeCode":"GTI5002","matchedMenuName":"ICED_레몬차","stepsSummary":"CUP:ICE,_ICE:5000,_COLD:80,_레몬:60,_설탕:10,_NONE:NONE,_NONE:NONE,_NONE:NONE,_NONE:NONE,_NONE:NONE"}] isTestBrew=true
[2026-09-02 16:42:47.395] [info]  [manual] event=order.completed status=success source=manual virtual=off mode=test orderId=INSTANT-1788334948074 bill=0000 menuCount=1
[2026-09-02 16:43:24.065] [info]  [toss] event=order.completed status=success source=toss virtual=on mode=order orderId=750259578690208641 bill=750259578690208641 menuCount=0
[2026-09-02 16:48:18.703] [info]  [toss] event=order.completed status=success source=toss virtual=on mode=order orderId=750260814214781040 bill=750260814214781040 menuCount=0
[2026-09-02 16:48:36.636] [info]  [toss] event=order.completed status=success source=toss virtual=on mode=order orderId=750260887510190136 bill=750260887510190136 menuCount=0
[2026-09-02 16:55:30.994] [info]  [toss] event=order.completed status=success source=toss virtual=on mode=order orderId=750262625273250342 bill=750262625273250342 menuCount=0
[2026-09-02 17:22:37.853] [info]  [toss] event=order.completed status=success source=toss virtual=on mode=order orderId=750269393424465393 bill=750269393424465393 menuCount=1
[2026-09-02 17:25:46.671] [info]  [toss] event=order.completed status=success source=toss virtual=on mode=order orderId=750270178241728918 bill=750270178241728918 menuCount=1
[2026-09-02 17:26:13.523] [info]  [toss] event=order.completed status=success source=toss virtual=on mode=order orderId=750270293081706762 bill=750270293081706762 menuCount=1
[2026-09-02 17:35:10.745] [info]  [toss] event=order.completed status=success source=toss virtual=on mode=order orderId=750272554843420280 bill=750272554843420280 menuCount=1
[2026-09-02 17:35:24.903] [info]  [toss] event=order.completed status=success source=toss virtual=on mode=order orderId=750272607842578767 bill=750272607842578767 menuCount=1
[2026-09-02 17:35:34.785] [info]  [toss] event=order.completed status=success source=toss virtual=on mode=order orderId=750272656752425657 bill=750272656752425657 menuCount=1
[2026-09-02 17:35:47.643] [info]  [toss] event=order.completed status=success source=toss virtual=on mode=order orderId=750272711437768151 bill=750272711437768151 menuCount=1
[2026-09-02 17:36:31.209] [info]  [toss] event=order.completed status=success source=toss virtual=on mode=order orderId=750272888198255281 bill=750272888198255281 menuCount=1
[2026-09-02 17:44:02.119] [info]  [toss] event=order.completed status=success source=toss virtual=on mode=order orderId=750274782459200927 bill=750274782459200927 menuCount=1
