[2026-09-22 15:07:04.605] [info]  [serialport] event=serialport.connect status=started scope=all
[2026-09-22 15:07:04.750] [debug] [serialport] event=serialport.connect status=success boardName=board1 port=COM3
[2026-09-22 15:07:04.779] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=24 message="[RAW:ENC:HASTE_ENC:b3857e7ac032abe4dfacd1c8:30c8892e174e44d1ac63ce357c4d1a64:7c3e09b1e86effc283d45b44c745c3c1e01215a1202ffe04d149898e99e10c33b34879d752412b672af1994927c7]"
[2026-09-22 15:07:11.151] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=14 message="[RAW:ENC:HASTE_ENC:dc36a796202d52ca9b24f3c2:80a8e92830c5daf280dc20e6355d1205:9d7f509e28eb5c4e9a345bf777719c8253415a568012e2c97fd3027646673c2297e2eead]"
[2026-09-22 15:07:11.157] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=14 message="[RAW:ENC:HASTE_ENC:c4c31523c13ee02b22400ed4:a0ae468641ab41a2ea2bdf7dcb1c74bd:471ba78e9692164043693847b1097f8d39a0026e172070ca1558d5497df6c105278a1cfb]"
[2026-09-22 15:07:12.186] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=14 message="[RAW:ENC:HASTE_ENC:8ee5a7028419f4e15abcbe89:1297d67b5eef4598e2c0e67ce256fffb:9071215268b165035af380bb9b29816e6115c9b5e898f101fa0b65df028872b2d778da3b]"
[2026-09-22 15:07:12.284] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=14 message="[RAW:ENC:HASTE_ENC:886dd6db0a5cecb400222f4b:868ef61ce3ff12359f0f6e73e16c9647:bf9299cc8cfa9858c3520ee2fd3daf3e1888bc636d3822a8de61eb4351019afa0f5eacfb]"
[2026-09-22 15:07:12.349] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=78 message="[RAW:ENC:HASTE_ENC:751448e03ad5d4501d83411a:e87b29fe0fcd68c131837799b25a3141:2e7c88f3a5760ee2c8080ad9be01c158b0538734959e44965333f2c97071d7c7f6b3d2b97a22cbb5d1d25b064dd81181bace80c74cb866404561b5b7d58d0aa824e06a11c451c1d1441638c51b0cd15450bb8ac014fcc123b6d9e29d0ec7b26db8297760]"
[2026-09-22 15:07:12.578] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=14 message="[RAW:ENC:HASTE_ENC:e209c470002d9db738921000:53ed39fbf07872eecc7cf6c96e177be6:70bfe4addda4326810b213ae9a5af15a27a4d5bb68a528f8e643c5b29eb22fb6a8df8183]"
[2026-09-22 15:07:12.588] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=14 message="[RAW:ENC:HASTE_ENC:51b868e5c4bb97004dd1ee2c:53993d9bf471a9c725640b3fe0c938f9:b4fbd01c51cffea00a12428272e6dcffbbfa42046782dc59a89f6772676aa4dc30cccc95]"
[2026-09-22 15:07:12.716] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:0d2823fa45bbcabb2188e79a:e1fb7ab2b888f3209c7f186b8e4f90c6:a55f474c72b6d9020aa5b43d748081e36f16eb3c18b09de40d869922de3ce9b7]"
[2026-09-22 15:07:12.924] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:ffda7cb9ac4984e44965f144:364b39d6d72ca9319e3afcd6bd4e5aed:9e9674c6bd423be04cef100fa30d3fb6de218cb2cf23884d710f7b22f4f6d7ef]"
