[2026-08-18 04:58:59.024] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25
[2026-08-18 04:58:59.126] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:58:59.234] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:58:59.342] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:58:59.453] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:58:59.565] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:58:59.676] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:58:59.785] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:58:59.894] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:59:00.004] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:59:00.115] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:59:00.225] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:59:00.332] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:59:00.443] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:59:00.554] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:59:00.665] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:59:00.774] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:59:00.884] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:59:00.993] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:59:01.103] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:59:01.203] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:59:01.305] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:59:01.414] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:59:01.522] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:59:01.633] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:59:01.742] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:59:01.849] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:59:01.947] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:59:02.056] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:59:02.166] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:59:02.275] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:59:02.384] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:59:02.496] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:59:02.603] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:59:02.714] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:59:02.823] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:59:02.924] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:59:03.029] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:59:03.140] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:59:03.239] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:59:03.339] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=1
[2026-08-18 04:59:03.451] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=2
[2026-08-18 04:59:03.561] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=2
[2026-08-18 04:59:03.672] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:03.785] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:03.892] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:04.004] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:04.116] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:04.224] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:04.334] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:04.445] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:04.554] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:04.665] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:04.781] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:04.885] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:04.996] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:05.107] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:05.218] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:05.327] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:05.439] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:05.548] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:05.660] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:05.762] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:05.862] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:05.980] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:06.088] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:06.198] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:06.307] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:06.417] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:06.527] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:06.638] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:06.742] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:06.844] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:06.953] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:07.064] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:07.175] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:07.283] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:07.392] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:07.500] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:07.609] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:07.717] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:07.827] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:07.940] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:08.048] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:08.160] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:08.270] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:08.379] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:08.488] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:08.598] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:08.708] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:08.819] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:08.929] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:09.041] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:09.152] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:09.265] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:09.375] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:09.484] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:09.595] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:09.704] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:09.815] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:09.924] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:10.033] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:10.142] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:10.250] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:10.362] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:10.472] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:10.582] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:10.693] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:10.802] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:10.915] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:11.025] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:11.135] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:11.248] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:11.357] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:11.467] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:11.578] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:11.689] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:11.799] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:11.911] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:12.020] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:12.131] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:12.239] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:12.349] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:12.459] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:12.568] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:12.680] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:12.790] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:12.901] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:13.012] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:13.123] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:13.233] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:13.344] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:13.455] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:13.566] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:13.674] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:13.786] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:13.898] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:14.008] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:14.119] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:14.228] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:14.339] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:14.449] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:14.558] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:14.669] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:14.781] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:14.891] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:15.003] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:15.113] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:15.223] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:15.333] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:15.444] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:15.554] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:15.666] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:15.776] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:15.887] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:15.998] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:16.107] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:16.217] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:16.327] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:16.436] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:16.547] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:16.655] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:16.766] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:16.877] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:16.986] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:17.097] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:17.208] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:17.318] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:17.428] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:17.540] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:17.650] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
[2026-08-18 04:59:17.762] [debug] [syrup] event=syrup.out status=success syrupName=복숭아 protocol=SIRUP22 amount=70 goal=25 current=3
